hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(32,)",tanh,0.001,0.01,64,16.59930255905244,63
"(32,)",tanh,0.001,0.01,128,16.348172375314803,101
"(32,)",tanh,0.001,0.1,32,16.632400871407242,63
"(32,)",tanh,0.001,0.1,64,16.597756237305433,63
"(32,)",tanh,0.001,0.1,128,16.430542284871176,101
"(32,)",tanh,0.005,0.0001,32,16.371813502628626,32
"(32,)",tanh,0.005,0.0001,64,16.430518386094978,38
"(32,)",tanh,0.005,0.0001,128,16.81053633648023,63
"(32,)",tanh,0.005,0.001,32,16.36192516992497,35
"(32,)",tanh,0.005,0.001,64,16.430730550413834,38
"(32,)",tanh,0.005,0.001,128,16.811102065029946,63
"(32,)",tanh,0.005,0.01,32,16.393565949912844,35
"(32,)",tanh,0.005,0.01,64,16.43378382045507,38
"(32,)",tanh,0.005,0.01,128,16.838564360864563,63
"(32,)",tanh,0.005,0.1,32,16.40084438950251,35
"(32,)",tanh,0.005,0.1,64,16.45985389479218,38
"(32,)",tanh,0.005,0.1,128,16.89869851768199,57
"(32,)",tanh,0.01,0.0001,32,16.887467064527787,25
"(32,)",tanh,0.01,0.0001,64,16.92781654134161,32
"(32,)",tanh,0.01,0.0001,128,16.50309865704133,38
"(32,)",tanh,0.01,0.001,32,16.758240195791256,36
"(32,)",tanh,0.01,0.001,64,16.860729349978094,37
"(32,)",tanh,0.01,0.001,128,16.506273408708896,38
"(32,)",tanh,0.01,0.01,32,17.0786432157725,32
"(32,)",tanh,0.01,0.01,64,16.93683179025083,32
"(32,)",tanh,0.01,0.01,128,16.65091778170307,37
"(32,)",tanh,0.01,0.1,32,16.73529508494264,27
"(32,)",tanh,0.01,0.1,64,16.436048503291907,35
"(32,)",tanh,0.01,0.1,128,16.467671864550233,38
"(64,)",relu,0.0001,0.0001,32,16.635215958976367,107
"(64,)",relu,0.0001,0.0001,64,16.65350452913011,106
"(64,)",relu,0.0001,0.0001,128,16.638455781803852,149
"(64,)",relu,0.0001,0.001,32,16.63492170377722,107
"(64,)",relu,0.0001,0.001,64,16.631396907770938,103
"(64,)",relu,0.0001,0.001,128,16.638376981457096,149
"(64,)",relu,0.0001,0.01,32,16.634503780809542,107
"(64,)",relu,0.0001,0.01,64,16.63155077860597,103
"(64,)",relu,0.0001,0.01,128,16.63826427032623,149
"(64,)",relu,0.0001,0.1,32,16.631634633760438,107
"(64,)",relu,0.0001,0.1,64,16.652356640725674,106
"(64,)",relu,0.0001,0.1,128,16.637375526245073,149
"(64,)",relu,0.0005,0.0001,32,16.60164665015963,96
"(64,)",relu,0.0005,0.0001,64,16.723124754505196,104
"(64,)",relu,0.0005,0.0001,128,16.552160135056607,135
"(64,)",relu,0.0005,0.001,32,16.74985128588576,68
"(64,)",relu,0.0005,0.001,64,16.652011371523997,104
"(64,)",relu,0.0005,0.001,128,16.546038735925904,120
"(64,)",relu,0.0005,0.01,32,16.599239091504153,96
"(64,)",relu,0.0005,0.01,64,16.655142107894257,104
"(64,)",relu,0.0005,0.01,128,16.5440250378354,120
"(64,)",relu,0.0005,0.1,32,16.5807984946714,96
"(64,)",relu,0.0005,0.1,64,16.654170930546353,104
"(64,)",relu,0.0005,0.1,128,16.537493037020134,120
"(64,)",relu,0.001,0.0001,32,16.69881113170284,63
"(64,)",relu,0.001,0.0001,64,16.744155616825427,72
"(64,)",relu,0.001,0.0001,128,16.65943054453849,104
"(64,)",relu,0.001,0.001,32,16.724998047894967,63
"(64,)",relu,0.001,0.001,64,16.745819125948593,72
"(64,)",relu,0.001,0.001,128,16.653271348911506,104
"(64,)",relu,0.001,0.01,32,16.72579302918437,73
"(64,)",relu,0.001,0.01,64,16.630019714240067,68
"(64,)",relu,0.001,0.01,128,16.655014764579107,104
