hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(256,)",tanh,0.001,0.1,128,16.6267506256362,62
"(256,)",tanh,0.005,0.0001,32,16.45947389269918,22
"(256,)",tanh,0.005,0.0001,64,16.46857045301217,22
"(256,)",tanh,0.005,0.0001,128,16.529463660919657,33
"(256,)",tanh,0.005,0.001,32,16.459314466504505,22
"(256,)",tanh,0.005,0.001,64,16.46846261639935,22
"(256,)",tanh,0.005,0.001,128,16.529440493969293,33
"(256,)",tanh,0.005,0.01,32,16.458797837675164,22
"(256,)",tanh,0.005,0.01,64,16.467366611236017,22
"(256,)",tanh,0.005,0.01,128,16.529192841197677,33
"(256,)",tanh,0.005,0.1,32,16.45305971201092,22
"(256,)",tanh,0.005,0.1,64,16.456261589211547,22
"(256,)",tanh,0.005,0.1,128,16.5270363213658,33
"(256,)",tanh,0.01,0.0001,32,16.334942317215578,21
"(256,)",tanh,0.01,0.0001,64,16.52555655747281,21
"(256,)",tanh,0.01,0.0001,128,16.35996631427731,22
"(256,)",tanh,0.01,0.001,32,16.336925917530657,21
"(256,)",tanh,0.01,0.001,64,16.519109185223517,21
"(256,)",tanh,0.01,0.001,128,16.36021329682431,22
"(256,)",tanh,0.01,0.01,32,16.391329198051988,21
"(256,)",tanh,0.01,0.01,64,16.521678141107316,21
"(256,)",tanh,0.01,0.01,128,16.358079853992926,22
"(256,)",tanh,0.01,0.1,32,17.027031741162165,22
"(256,)",tanh,0.01,0.1,64,16.50197433482428,21
"(256,)",tanh,0.01,0.1,128,16.35977668705172,22
"(64, 32)",relu,0.0001,0.0001,32,16.699869316087185,113
"(64, 32)",relu,0.0001,0.0001,64,16.636160871578813,127
"(64, 32)",relu,0.0001,0.0001,128,16.64163824325405,178
"(64, 32)",relu,0.0001,0.001,32,16.697654223933018,113
"(64, 32)",relu,0.0001,0.001,64,16.71583234060344,205
"(64, 32)",relu,0.0001,0.001,128,16.63813876314171,178
"(64, 32)",relu,0.0001,0.01,32,16.69754879735561,113
"(64, 32)",relu,0.0001,0.01,64,16.70688777745367,180
"(64, 32)",relu,0.0001,0.01,128,16.642437416374538,172
"(64, 32)",relu,0.0001,0.1,32,16.697277028030243,113
"(64, 32)",relu,0.0001,0.1,64,16.701404796229216,180
"(64, 32)",relu,0.0001,0.1,128,16.6336580517258,178
"(64, 32)",relu,0.0005,0.0001,32,16.63676985760584,62
"(64, 32)",relu,0.0005,0.0001,64,16.702436972160985,84
"(64, 32)",relu,0.0005,0.0001,128,16.704739528814937,58
"(64, 32)",relu,0.0005,0.001,32,16.62419901820372,62
"(64, 32)",relu,0.0005,0.001,64,16.713839617425872,84
"(64, 32)",relu,0.0005,0.001,128,16.698331975801064,58
"(64, 32)",relu,0.0005,0.01,32,16.622587521402302,62
"(64, 32)",relu,0.0005,0.01,64,16.698417778776566,84
"(64, 32)",relu,0.0005,0.01,128,16.694689526373466,58
"(64, 32)",relu,0.0005,0.1,32,16.780052508975942,63
"(64, 32)",relu,0.0005,0.1,64,16.67297375061399,84
"(64, 32)",relu,0.0005,0.1,128,16.68129398187024,58
"(64, 32)",relu,0.001,0.0001,32,16.960875088563835,35
"(64, 32)",relu,0.001,0.0001,64,16.804087632092624,43
"(64, 32)",relu,0.001,0.0001,128,16.909773450431455,84
"(64, 32)",relu,0.001,0.001,32,16.953854605254623,43
"(64, 32)",relu,0.001,0.001,64,16.98876383869643,51
"(64, 32)",relu,0.001,0.001,128,16.863995555748414,84
"(64, 32)",relu,0.001,0.01,32,16.97595964348528,43
"(64, 32)",relu,0.001,0.01,64,16.991532446747332,51
"(64, 32)",relu,0.001,0.01,128,16.892021871462923,84
"(64, 32)",relu,0.001,0.1,32,16.920822766589325,43
"(64, 32)",relu,0.001,0.1,64,16.991365171749944,51
"(64, 32)",relu,0.001,0.1,128,16.967737407780444,62
"(64, 32)",relu,0.005,0.0001,32,16.617912853269118,36
"(64, 32)",relu,0.005,0.0001,64,16.872267387383268,43
"(64, 32)",relu,0.005,0.0001,128,16.413504396078597,35
"(64, 32)",relu,0.005,0.001,32,16.34023819094895,33
"(64, 32)",relu,0.005,0.001,64,16.95456347670398,43
"(64, 32)",relu,0.005,0.001,128,17.09953480415804,31
"(64, 32)",relu,0.005,0.01,32,16.33007436712316,33
"(64, 32)",relu,0.005,0.01,64,17.123979061931777,43
"(64, 32)",relu,0.005,0.01,128,16.801984870247033,40
"(64, 32)",relu,0.005,0.1,32,16.237879357183523,33
"(64, 32)",relu,0.005,0.1,64,16.900543584877997,43
"(64, 32)",relu,0.005,0.1,128,17.090412256290165,43
"(64, 32)",relu,0.01,0.0001,32,16.716837634731128,33
"(64, 32)",relu,0.01,0.0001,64,16.910935493994288,43
"(64, 32)",relu,0.01,0.0001,128,16.560043144973182,19
"(64, 32)",relu,0.01,0.001,32,16.40504271680202,33
"(64, 32)",relu,0.01,0.001,64,16.950888498064955,43
"(64, 32)",relu,0.01,0.001,128,16.919082668692322,31
"(64, 32)",relu,0.01,0.01,32,17.059159222542725,35
"(64, 32)",relu,0.01,0.01,64,16.996206036633488,43
"(64, 32)",relu,0.01,0.01,128,16.89423275557637,31
"(64, 32)",relu,0.01,0.1,32,16.426968419905066,33
"(64, 32)",relu,0.01,0.1,64,17.09031387604811,47
"(64, 32)",relu,0.01,0.1,128,16.392004619000346,31
"(64, 32)",tanh,0.0001,0.0001,32,16.443760323072137,166
"(64, 32)",tanh,0.0001,0.0001,64,16.54883557066241,215
"(64, 32)",tanh,0.0001,0.0001,128,16.539231554368843,293
"(64, 32)",tanh,0.0001,0.001,32,16.443841068495622,166
"(64, 32)",tanh,0.0001,0.001,64,16.54882672812817,215
"(64, 32)",tanh,0.0001,0.001,128,16.53930095219706,293
"(64, 32)",tanh,0.0001,0.01,32,16.444734834146253,166
"(64, 32)",tanh,0.0001,0.01,64,16.54876714875304,215
"(64, 32)",tanh,0.0001,0.01,128,16.540005256660184,293
"(64, 32)",tanh,0.0001,0.1,32,16.494208017219698,166
"(64, 32)",tanh,0.0001,0.1,64,16.549957978264633,215
"(64, 32)",tanh,0.0001,0.1,128,16.543896641329034,293
"(64, 32)",tanh,0.0005,0.0001,32,16.48132862990684,43
"(64, 32)",tanh,0.0005,0.0001,64,16.581811279458464,56
"(64, 32)",tanh,0.0005,0.0001,128,16.65302494702074,100
"(64, 32)",tanh,0.0005,0.001,32,16.481397735232946,43
"(64, 32)",tanh,0.0005,0.001,64,16.581769580273974,56
"(64, 32)",tanh,0.0005,0.001,128,16.65317023049554,100
"(64, 32)",tanh,0.0005,0.01,32,16.481770590930775,43
"(64, 32)",tanh,0.0005,0.01,64,16.58116334401274,62
"(64, 32)",tanh,0.0005,0.01,128,16.618951371237745,84
"(64, 32)",tanh,0.0005,0.1,32,16.47593962246146,43
"(64, 32)",tanh,0.0005,0.1,64,16.56804672309896,62
"(64, 32)",tanh,0.0005,0.1,128,16.427051008870105,84
"(64, 32)",tanh,0.001,0.0001,32,16.51015676116862,33
"(64, 32)",tanh,0.001,0.0001,64,16.52903193449374,43
"(64, 32)",tanh,0.001,0.0001,128,16.698982574830335,62
"(64, 32)",tanh,0.001,0.001,32,16.50973671130698,33
"(64, 32)",tanh,0.001,0.001,64,16.52926016188691,43
"(64, 32)",tanh,0.001,0.001,128,16.699031314075743,62
"(64, 32)",tanh,0.001,0.01,32,16.505376380036143,33
"(64, 32)",tanh,0.001,0.01,64,16.53126762131495,43
"(64, 32)",tanh,0.001,0.01,128,16.699518175200215,62
"(64, 32)",tanh,0.001,0.1,32,16.89042517760669,43
"(64, 32)",tanh,0.001,0.1,64,16.530968968924007,43
"(64, 32)",tanh,0.001,0.1,128,16.713225936132503,70
"(64, 32)",tanh,0.005,0.0001,32,16.997967417374028,27
"(64, 32)",tanh,0.005,0.0001,64,16.654574988243535,20
"(64, 32)",tanh,0.005,0.0001,128,16.81944158021544,26
"(64, 32)",tanh,0.005,0.001,32,17.05223914645355,21
"(64, 32)",tanh,0.005,0.001,64,17.098470649156095,25
"(64, 32)",tanh,0.005,0.001,128,17.010189727768196,33
"(64, 32)",tanh,0.005,0.01,32,16.840492162174648,20
"(64, 32)",tanh,0.005,0.01,64,16.726745667638877,20
"(64, 32)",tanh,0.005,0.01,128,17.146486711271393,33
"(64, 32)",tanh,0.005,0.1,32,16.573359227069876,23
"(64, 32)",tanh,0.005,0.1,64,16.92935987704902,33
"(64, 32)",tanh,0.005,0.1,128,16.742880301140826,33
"(64, 32)",tanh,0.01,0.0001,32,16.697996153967967,32
"(64, 32)",tanh,0.01,0.0001,64,16.928525010552033,23
"(64, 32)",tanh,0.01,0.0001,128,16.8305162585093,23
"(64, 32)",tanh,0.01,0.001,32,17.077001061960146,27
"(64, 32)",tanh,0.01,0.001,64,16.891919891160757,19
"(64, 32)",tanh,0.01,0.001,128,16.89981342038606,26
"(64, 32)",tanh,0.01,0.01,32,16.79103919943088,20
"(64, 32)",tanh,0.01,0.01,64,16.884083347919212,21
"(64, 32)",tanh,0.01,0.01,128,16.801208859024563,20
"(64, 32)",tanh,0.01,0.1,32,17.18959966027464,31
"(64, 32)",tanh,0.01,0.1,64,17.299667329173626,31
"(64, 32)",tanh,0.01,0.1,128,16.765790337617045,23
"(128, 64)",relu,0.0001,0.0001,32,16.669275243309393,89
"(128, 64)",relu,0.0001,0.0001,64,16.60265255020609,98
"(128, 64)",relu,0.0001,0.0001,128,16.517219149871302,115
"(128, 64)",relu,0.0001,0.001,32,16.56544537198671,89
"(128, 64)",relu,0.0001,0.001,64,16.699131181994865,98
"(128, 64)",relu,0.0001,0.001,128,16.51860626226833,115
"(128, 64)",relu,0.0001,0.01,32,16.616665382600072,61
"(128, 64)",relu,0.0001,0.01,64,16.69612857950066,98
"(128, 64)",relu,0.0001,0.01,128,16.519271398943538,115
"(128, 64)",relu,0.0001,0.1,32,16.594734074599305,77
"(128, 64)",relu,0.0001,0.1,64,16.60300991712629,98
"(128, 64)",relu,0.0001,0.1,128,16.520331435208238,115
"(128, 64)",relu,0.0005,0.0001,32,16.82504550725294,31
"(128, 64)",relu,0.0005,0.0001,64,16.869045719620008,31
"(128, 64)",relu,0.0005,0.0001,128,16.565359238497788,49
"(128, 64)",relu,0.0005,0.001,32,16.840875674471672,31
"(128, 64)",relu,0.0005,0.001,64,16.66194370111609,39
"(128, 64)",relu,0.0005,0.001,128,16.565141530942032,49
"(128, 64)",relu,0.0005,0.01,32,16.681751172897606,24
"(128, 64)",relu,0.0005,0.01,64,16.87664054382076,31
"(128, 64)",relu,0.0005,0.01,128,16.552942149912234,49
"(128, 64)",relu,0.0005,0.1,32,16.83862383245713,24
"(128, 64)",relu,0.0005,0.1,64,16.89265165423044,31
"(128, 64)",relu,0.0005,0.1,128,16.553988462789157,49
"(128, 64)",relu,0.001,0.0001,32,16.809747688031845,21
"(128, 64)",relu,0.001,0.0001,64,16.645388954628775,24
"(128, 64)",relu,0.001,0.0001,128,16.63774107014247,39
"(128, 64)",relu,0.001,0.001,32,16.612731896904897,22
"(128, 64)",relu,0.001,0.001,64,16.72719485237931,22
"(128, 64)",relu,0.001,0.001,128,16.658229997013283,39
"(128, 64)",relu,0.001,0.01,32,16.785295478393078,21
"(128, 64)",relu,0.001,0.01,64,16.704085380054448,22
"(128, 64)",relu,0.001,0.01,128,16.668136806081456,31
"(128, 64)",relu,0.001,0.1,32,16.55173238929091,29
"(128, 64)",relu,0.001,0.1,64,16.70969663617175,22
"(128, 64)",relu,0.001,0.1,128,16.67352636191701,31
"(128, 64)",relu,0.005,0.0001,32,16.264979302602107,24
"(128, 64)",relu,0.005,0.0001,64,16.46647854005039,29
"(128, 64)",relu,0.005,0.0001,128,16.666455583199408,29
"(128, 64)",relu,0.005,0.001,32,16.21311562228202,24
"(128, 64)",relu,0.005,0.001,64,16.541035116770708,29
"(128, 64)",relu,0.005,0.001,128,16.676874269388822,29
"(128, 64)",relu,0.005,0.01,32,16.667219801351383,24
"(128, 64)",relu,0.005,0.01,64,16.48463761475791,29
"(128, 64)",relu,0.005,0.01,128,16.715371999256867,29
"(128, 64)",relu,0.005,0.1,32,16.310778149871663,24
"(128, 64)",relu,0.005,0.1,64,16.62596485652388,29
"(128, 64)",relu,0.005,0.1,128,16.7138757946208,29
"(128, 64)",relu,0.01,0.0001,32,16.753796754983465,29
"(128, 64)",relu,0.01,0.0001,64,16.46934850459383,29
"(128, 64)",relu,0.01,0.0001,128,17.082844025779096,29
"(128, 64)",relu,0.01,0.001,32,16.641703244539922,21
"(128, 64)",relu,0.01,0.001,64,16.47296710929134,29
"(128, 64)",relu,0.01,0.001,128,17.053460566390708,29
"(128, 64)",relu,0.01,0.01,32,16.146057571980485,24
"(128, 64)",relu,0.01,0.01,64,16.414559234358094,29
"(128, 64)",relu,0.01,0.01,128,17.101696893135788,29
"(128, 64)",relu,0.01,0.1,32,16.717482810108915,21
"(128, 64)",relu,0.01,0.1,64,16.585882590873325,32
"(128, 64)",relu,0.01,0.1,128,17.024235034692314,29
"(128, 64)",tanh,0.0001,0.0001,32,16.646983195249888,115
"(128, 64)",tanh,0.0001,0.0001,64,16.600635567847355,145
"(128, 64)",tanh,0.0001,0.0001,128,16.600141238834738,248
"(128, 64)",tanh,0.0001,0.001,32,16.646854172647153,115
"(128, 64)",tanh,0.0001,0.001,64,16.60055773677152,145
"(128, 64)",tanh,0.0001,0.001,128,16.600084691059664,248
"(128, 64)",tanh,0.0001,0.01,32,16.64562832308509,115
"(128, 64)",tanh,0.0001,0.01,64,16.599814706641954,145
"(128, 64)",tanh,0.0001,0.01,128,16.5995355801978,248
"(128, 64)",tanh,0.0001,0.1,32,16.633511164375903,115
"(128, 64)",tanh,0.0001,0.1,64,16.590837177444506,145
"(128, 64)",tanh,0.0001,0.1,128,16.59585158425758,248
"(128, 64)",tanh,0.0005,0.0001,32,16.705529033137974,33
"(128, 64)",tanh,0.0005,0.0001,64,16.54915110789267,49
"(128, 64)",tanh,0.0005,0.0001,128,16.6993754342509,96
"(128, 64)",tanh,0.0005,0.001,32,16.70555508463787,33
"(128, 64)",tanh,0.0005,0.001,64,16.54904901819597,49
"(128, 64)",tanh,0.0005,0.001,128,16.699614541675587,96
"(128, 64)",tanh,0.0005,0.01,32,16.70577260983263,33
"(128, 64)",tanh,0.0005,0.01,64,16.548085767809695,49
"(128, 64)",tanh,0.0005,0.01,128,16.702213778549176,96
"(128, 64)",tanh,0.0005,0.1,32,16.707288198313822,33
"(128, 64)",tanh,0.0005,0.1,64,16.545282786520445,49
"(128, 64)",tanh,0.0005,0.1,128,16.69832589439424,96
"(128, 64)",tanh,0.001,0.0001,32,16.728991261394384,33
"(128, 64)",tanh,0.001,0.0001,64,16.821259651733218,33
"(128, 64)",tanh,0.001,0.0001,128,16.63153238722851,49
"(128, 64)",tanh,0.001,0.001,32,16.72950421056973,33
"(128, 64)",tanh,0.001,0.001,64,16.821445733772386,33
"(128, 64)",tanh,0.001,0.001,128,16.63151885602685,49
"(128, 64)",tanh,0.001,0.01,32,16.73593114168212,33
"(128, 64)",tanh,0.001,0.01,64,16.821286829900995,33
"(128, 64)",tanh,0.001,0.01,128,16.63131166090926,49
"(128, 64)",tanh,0.001,0.1,32,16.75137300613783,31
"(128, 64)",tanh,0.001,0.1,64,16.639624526988676,33
"(128, 64)",tanh,0.001,0.1,128,16.800701933800028,67
"(128, 64)",tanh,0.005,0.0001,32,16.807731983085898,26
"(128, 64)",tanh,0.005,0.0001,64,17.112210463867967,26
"(128, 64)",tanh,0.005,0.0001,128,16.97864376602745,25
"(128, 64)",tanh,0.005,0.001,32,17.14831433599357,23
"(128, 64)",tanh,0.005,0.001,64,16.405378869149104,21
"(128, 64)",tanh,0.005,0.001,128,16.744407149723852,23
"(128, 64)",tanh,0.005,0.01,32,16.768457505402473,26
"(128, 64)",tanh,0.005,0.01,64,16.939142413297873,25
"(128, 64)",tanh,0.005,0.01,128,16.6089826579155,23
"(128, 64)",tanh,0.005,0.1,32,16.472817625400182,19
"(128, 64)",tanh,0.005,0.1,64,16.68088036995351,22
"(128, 64)",tanh,0.005,0.1,128,16.997019945139314,33
"(128, 64)",tanh,0.01,0.0001,32,16.93864637002327,24
"(128, 64)",tanh,0.01,0.0001,64,16.940779708723614,35
"(128, 64)",tanh,0.01,0.0001,128,17.08605067492365,25
"(128, 64)",tanh,0.01,0.001,32,17.116641018036805,33
"(128, 64)",tanh,0.01,0.001,64,16.521647513135598,28
"(128, 64)",tanh,0.01,0.001,128,16.66036849594499,22
"(128, 64)",tanh,0.01,0.01,32,17.06438905196424,31
"(128, 64)",tanh,0.01,0.01,64,16.669511522177128,35
"(128, 64)",tanh,0.01,0.01,128,16.930274932049254,19
"(128, 64)",tanh,0.01,0.1,32,16.754501014439818,33
"(128, 64)",tanh,0.01,0.1,64,17.235846902365434,22
"(128, 64)",tanh,0.01,0.1,128,16.967550512470336,33
"(128, 128)",relu,0.0001,0.0001,32,16.667658714903688,94
"(128, 128)",relu,0.0001,0.0001,64,16.614071999058428,95
"(128, 128)",relu,0.0001,0.0001,128,16.46750077515664,95
"(128, 128)",relu,0.0001,0.001,32,16.667725503798724,94
"(128, 128)",relu,0.0001,0.001,64,16.61763126525523,95
"(128, 128)",relu,0.0001,0.001,128,16.46861039182424,95
"(128, 128)",relu,0.0001,0.01,32,16.674400024063313,94
"(128, 128)",relu,0.0001,0.01,64,16.61921074885509,95
"(128, 128)",relu,0.0001,0.01,128,16.469080992456576,95
"(128, 128)",relu,0.0001,0.1,32,16.651606756313715,94
"(128, 128)",relu,0.0001,0.1,64,16.61312261329946,95
"(128, 128)",relu,0.0001,0.1,128,16.46674015809283,95
"(128, 128)",relu,0.0005,0.0001,32,16.39418392362053,40
"(128, 128)",relu,0.0005,0.0001,64,16.396542631374615,39
"(128, 128)",relu,0.0005,0.0001,128,16.71317196426772,36
"(128, 128)",relu,0.0005,0.001,32,16.723377408066185,33
"(128, 128)",relu,0.0005,0.001,64,16.40052041681113,39
"(128, 128)",relu,0.0005,0.001,128,16.70233885060442,36
"(128, 128)",relu,0.0005,0.01,32,16.758947204863105,33
"(128, 128)",relu,0.0005,0.01,64,16.425003121596305,39
"(128, 128)",relu,0.0005,0.01,128,16.70923269653236,36
"(128, 128)",relu,0.0005,0.1,32,16.73046995973088,33
"(128, 128)",relu,0.0005,0.1,64,16.407685307311763,39
"(128, 128)",relu,0.0005,0.1,128,16.704051424389963,36
"(128, 128)",relu,0.001,0.0001,32,16.63515992063439,32
"(128, 128)",relu,0.001,0.0001,64,16.886370413763395,33
"(128, 128)",relu,0.001,0.0001,128,16.39719565453952,39
"(128, 128)",relu,0.001,0.001,32,16.6490722514926,32
"(128, 128)",relu,0.001,0.001,64,16.935618087103062,33
"(128, 128)",relu,0.001,0.001,128,16.38653252375925,39
"(128, 128)",relu,0.001,0.01,32,16.62270508695255,32
"(128, 128)",relu,0.001,0.01,64,16.376543357109227,45
"(128, 128)",relu,0.001,0.01,128,16.409597938624998,39
"(128, 128)",relu,0.001,0.1,32,16.503671297386074,42
"(128, 128)",relu,0.001,0.1,64,16.914148324025017,33
"(128, 128)",relu,0.001,0.1,128,16.423601567549703,39
"(128, 128)",relu,0.005,0.0001,32,16.464998781483025,37
"(128, 128)",relu,0.005,0.0001,64,16.579517957658627,33
"(128, 128)",relu,0.005,0.0001,128,16.346595058917377,45
"(128, 128)",relu,0.005,0.001,32,16.532678869405515,40
"(128, 128)",relu,0.005,0.001,64,16.626293984531664,16
"(128, 128)",relu,0.005,0.001,128,16.34704570034183,45
"(128, 128)",relu,0.005,0.01,32,16.82502938304968,32
"(128, 128)",relu,0.005,0.01,64,16.60870858353663,33
"(128, 128)",relu,0.005,0.01,128,16.363585335717485,45
"(128, 128)",relu,0.005,0.1,32,16.575823512896438,32
"(128, 128)",relu,0.005,0.1,64,16.496857198506056,33
"(128, 128)",relu,0.005,0.1,128,16.325179286227385,45
"(128, 128)",relu,0.01,0.0001,32,16.76497944349515,32
"(128, 128)",relu,0.01,0.0001,64,16.679543929279475,40
"(128, 128)",relu,0.01,0.0001,128,16.42516256944143,45
"(128, 128)",relu,0.01,0.001,32,16.676881183116272,32
"(128, 128)",relu,0.01,0.001,64,16.7034476379116,33
"(128, 128)",relu,0.01,0.001,128,16.448724519955483,45
"(128, 128)",relu,0.01,0.01,32,16.784446584739776,32
"(128, 128)",relu,0.01,0.01,64,16.542663106585806,40
"(128, 128)",relu,0.01,0.01,128,16.394956498218605,45
"(128, 128)",relu,0.01,0.1,32,16.432357390239478,40
"(128, 128)",relu,0.01,0.1,64,16.645583665158025,33
"(128, 128)",relu,0.01,0.1,128,16.565398971696112,45
"(128, 128)",tanh,0.0001,0.0001,32,16.533759753449488,122
"(128, 128)",tanh,0.0001,0.0001,64,16.516596994408868,185
"(128, 128)",tanh,0.0001,0.0001,128,16.493959477339878,185
"(128, 128)",tanh,0.0001,0.001,32,16.53365900167586,122
"(128, 128)",tanh,0.0001,0.001,64,16.516557593474865,185
"(128, 128)",tanh,0.0001,0.001,128,16.493945396494336,185
"(128, 128)",tanh,0.0001,0.01,32,16.532652722485157,122
"(128, 128)",tanh,0.0001,0.01,64,16.516167579433233,185
"(128, 128)",tanh,0.0001,0.01,128,16.493805130954495,185
"(128, 128)",tanh,0.0001,0.1,32,16.52316865884597,122
"(128, 128)",tanh,0.0001,0.1,64,16.512769476053787,185
"(128, 128)",tanh,0.0001,0.1,128,16.49245978958563,185
"(128, 128)",tanh,0.0005,0.0001,32,16.460291890701207,51
"(128, 128)",tanh,0.0005,0.0001,64,16.568969730829426,51
"(128, 128)",tanh,0.0005,0.0001,128,16.533611639437517,82
"(128, 128)",tanh,0.0005,0.001,32,16.460309460158168,51
"(128, 128)",tanh,0.0005,0.001,64,16.56888343695596,51
"(128, 128)",tanh,0.0005,0.001,128,16.533548154464647,82
"(128, 128)",tanh,0.0005,0.01,32,16.460921444267246,51
"(128, 128)",tanh,0.0005,0.01,64,16.568008501936575,51
"(128, 128)",tanh,0.0005,0.01,128,16.53290220834386,82
"(128, 128)",tanh,0.0005,0.1,32,16.451251395538744,51
"(128, 128)",tanh,0.0005,0.1,64,16.46321704895217,51
"(128, 128)",tanh,0.0005,0.1,128,16.525972290201686,82
"(128, 128)",tanh,0.001,0.0001,32,16.588698698503222,40
"(128, 128)",tanh,0.001,0.0001,64,16.584161034141257,51
"(128, 128)",tanh,0.001,0.0001,128,16.516629038232434,57
"(128, 128)",tanh,0.001,0.001,32,16.587392563937467,40
"(128, 128)",tanh,0.001,0.001,64,16.58448619192898,51
"(128, 128)",tanh,0.001,0.001,128,16.5162552022416,57
"(128, 128)",tanh,0.001,0.01,32,16.58839412045769,40
"(128, 128)",tanh,0.001,0.01,64,16.580586949766335,40
"(128, 128)",tanh,0.001,0.01,128,16.512486602377326,57
"(128, 128)",tanh,0.001,0.1,32,16.57973933529086,40
"(128, 128)",tanh,0.001,0.1,64,16.661466341114842,40
"(128, 128)",tanh,0.001,0.1,128,16.491651550825704,57
"(128, 128)",tanh,0.005,0.0001,32,16.62217949656551,22
"(128, 128)",tanh,0.005,0.0001,64,16.90021354488268,29
"(128, 128)",tanh,0.005,0.0001,128,16.627654514194905,27
"(128, 128)",tanh,0.005,0.001,32,16.344733884841684,22
"(128, 128)",tanh,0.005,0.001,64,16.771788298366324,29
"(128, 128)",tanh,0.005,0.001,128,16.68121148031152,32
"(128, 128)",tanh,0.005,0.01,32,16.787671090266624,22
"(128, 128)",tanh,0.005,0.01,64,16.77444406046948,32
"(128, 128)",tanh,0.005,0.01,128,16.670417701902682,27
"(128, 128)",tanh,0.005,0.1,32,16.540658031246494,32
"(128, 128)",tanh,0.005,0.1,64,16.43524359944731,23
"(128, 128)",tanh,0.005,0.1,128,16.54840069808319,32
"(128, 128)",tanh,0.01,0.0001,32,16.607656138737962,39
"(128, 128)",tanh,0.01,0.0001,64,16.790455466508423,25
"(128, 128)",tanh,0.01,0.0001,128,17.20988323787261,39
"(128, 128)",tanh,0.01,0.001,32,16.653843063042075,24
"(128, 128)",tanh,0.01,0.001,64,16.76518834725464,22
"(128, 128)",tanh,0.01,0.001,128,16.72039783378146,27
"(128, 128)",tanh,0.01,0.01,32,16.797338371269866,26
"(128, 128)",tanh,0.01,0.01,64,16.989607970263837,28
"(128, 128)",tanh,0.01,0.01,128,17.175271080655826,21
"(128, 128)",tanh,0.01,0.1,32,16.80824832428895,47
"(128, 128)",tanh,0.01,0.1,64,16.700723411855126,32
"(128, 128)",tanh,0.01,0.1,128,16.65610409808586,27
"(256, 128)",relu,0.0001,0.0001,32,16.66088055634248,68
"(256, 128)",relu,0.0001,0.0001,64,16.63927899013908,68
"(256, 128)",relu,0.0001,0.0001,128,16.542737493956473,68
"(256, 128)",relu,0.0001,0.001,32,16.73011446455294,68
"(256, 128)",relu,0.0001,0.001,64,16.634920005622522,68
"(256, 128)",relu,0.0001,0.001,128,16.544212867376935,68
"(256, 128)",relu,0.0001,0.01,32,16.653597351466146,68
"(256, 128)",relu,0.0001,0.01,64,16.634763215464954,68
"(256, 128)",relu,0.0001,0.01,128,16.54230380555932,68
"(256, 128)",relu,0.0001,0.1,32,16.652178060052393,68
"(256, 128)",relu,0.0001,0.1,64,16.631079020247654,68
"(256, 128)",relu,0.0001,0.1,128,16.53942766737455,68
"(256, 128)",relu,0.0005,0.0001,32,17.097542506201457,37
"(256, 128)",relu,0.0005,0.0001,64,16.84866307728453,42
"(256, 128)",relu,0.0005,0.0001,128,16.779637835928206,63
"(256, 128)",relu,0.0005,0.001,32,17.075603780203878,37
"(256, 128)",relu,0.0005,0.001,64,16.820830907783357,42
"(256, 128)",relu,0.0005,0.001,128,16.882938987068794,44
"(256, 128)",relu,0.0005,0.01,32,17.088410607014996,37
"(256, 128)",relu,0.0005,0.01,64,16.85298902072212,42
"(256, 128)",relu,0.0005,0.01,128,16.808820215119276,63
"(256, 128)",relu,0.0005,0.1,32,17.074324101982366,37
"(256, 128)",relu,0.0005,0.1,64,16.8635346378094,42
"(256, 128)",relu,0.0005,0.1,128,16.771463905704287,63
"(256, 128)",relu,0.001,0.0001,32,17.1688612071526,29
"(256, 128)",relu,0.001,0.0001,64,16.9981454895068,37
"(256, 128)",relu,0.001,0.0001,128,16.790638062667323,37
"(256, 128)",relu,0.001,0.001,32,17.197579419834142,29
"(256, 128)",relu,0.001,0.001,64,16.98633251154606,37
"(256, 128)",relu,0.001,0.001,128,16.794831809332297,37
"(256, 128)",relu,0.001,0.01,32,17.208815347783197,29
"(256, 128)",relu,0.001,0.01,64,17.040906293070726,37
"(256, 128)",relu,0.001,0.01,128,16.822878951306595,37
"(256, 128)",relu,0.001,0.1,32,17.144115045669192,29
"(256, 128)",relu,0.001,0.1,64,17.009586153158196,37
"(256, 128)",relu,0.001,0.1,128,16.78790292618176,37
"(256, 128)",relu,0.005,0.0001,32,16.84745609876162,31
"(256, 128)",relu,0.005,0.0001,64,16.767637553119986,20
"(256, 128)",relu,0.005,0.0001,128,17.207345528802037,37
"(256, 128)",relu,0.005,0.001,32,16.917782328807277,31
"(256, 128)",relu,0.005,0.001,64,17.05125753570247,37
"(256, 128)",relu,0.005,0.001,128,17.063231496773,63
"(256, 128)",relu,0.005,0.01,32,17.012393675662768,29
"(256, 128)",relu,0.005,0.01,64,16.83155312209605,29
"(256, 128)",relu,0.005,0.01,128,17.294192026752224,37
"(256, 128)",relu,0.005,0.1,32,17.01148091723866,31
"(256, 128)",relu,0.005,0.1,64,16.943283898053465,29
"(256, 128)",relu,0.005,0.1,128,17.25726425075543,37
"(256, 128)",relu,0.01,0.0001,32,16.96864195517056,29
"(256, 128)",relu,0.01,0.0001,64,17.024330101456535,29
"(256, 128)",relu,0.01,0.0001,128,16.573424131654207,16
